event1 event2 CC dt_sec evla_eq1 evlo_eq1 evdp_eq1_km evla_eq2 evlo_eq1 evdp_eq2_km  
20041227001538 20100223132411 0.89   -2.81580   2.17  96.28  30.00   2.20  96.15  42.80
20041227001538 20120122005537 0.90   -0.36360   2.17  96.28  30.00   2.19  96.09  27.00
20041227001538 20130101200500 0.92   -0.80690   2.17  96.28  30.00   2.19  96.07  27.00
20041227001538 20150722001205 0.88   -0.68250   2.17  96.28  30.00   2.15  96.07  27.00
20041227034617 20050727173501 0.90    8.36160   0.87  97.83  30.00   1.01  97.17  30.00
20041227034617 20070521140851 0.88    8.70480   0.87  97.83  30.00   1.01  97.17  30.00
20041227040642 20050104170216 0.92   -0.45290   3.08  94.52  30.00   3.08  94.52  30.00
20041227040642 20050124145245 0.93    0.26380   3.08  94.52  30.00   3.08  94.52  30.00
20041227040642 20050710225046 0.90    0.25760   3.08  94.52  30.00   3.08  94.52  30.00
20041227040642 20111027091324 0.87   -0.36180   3.08  94.52  30.00   3.08  94.52  30.00
20041227082131 20050313221239 0.89   -2.43890   1.01  97.17  30.00   1.01  97.17  30.00
20041227082131 20090813205006 0.92    4.08220   1.01  97.17  30.00   2.43  96.19  39.90
20041227093859 20050109145835 0.85   -3.46140   0.61  97.35  30.00   1.01  97.17  30.00
20041227093859 20050219234510 0.85   -0.82980   0.61  97.35  30.00   1.01  97.17  30.00
20041227093859 20050329125607 0.86   -2.12630   0.61  97.35  30.00   1.01  97.17  30.00
20041227093859 20050521230103 0.85    1.44780   0.61  97.35  30.00   1.01  97.17  30.00
20041227093859 20050826003645 0.87    0.20250   0.61  97.35  30.00   1.01  97.17  30.00
20041227093859 20071207080912 0.87    0.01200   0.61  97.35  30.00   1.01  97.17  30.00
20041227093859 20120417032415 0.87    0.33490   0.61  97.35  30.00   1.01  97.17  30.00
20041227093859 20121222035001 0.85   -0.99140   0.61  97.35  30.00   1.01  97.17  30.00
20041227093859 20140927151537 0.85   -1.68350   0.61  97.35  30.00   1.01  97.17  30.00
