event1 event2 CC dt_sec
20050329032349 20051203184805 0.89 -0.7768
20050329032349 20061009134514 0.90 -3.2685
20050329032349 20080702145510 0.90 -2.1473
20050329032349 20110329065935 0.88 -2.4111
20050329032349 20181010085118 0.85 -0.3721
20050329033826 20050331021224 0.90 -1.4133
20050329033826 20050403065557 0.95 -1.5928
20050329033826 20050410030925 0.93 -0.1268
20050329033826 20050425225802 0.97 0.4830
20050329033826 20050524072639 0.95 -0.0317
20050329033826 20050823215241 0.97 -0.2844
20050329033826 20051212123646 0.92 0.0195
20050329033826 20060517113414 0.96 -4.4334
20050329033826 20060817010409 0.98 2.0079
20050329033826 20061209155207 0.94 -3.5697
20050329033826 20070730065611 0.97 -6.3836
20050329033826 20080824040549 0.97 -2.0978
20050329033826 20100318000440 0.95 -0.8728
20050329033826 20110404225136 0.93 -1.7809
20050329033826 20120530201246 0.97 -1.9695
20050329033826 20140502183227 0.94 -0.3695
20050329033826 20160104210902 0.97 -1.9209
20050329033826 20170723135411 0.86 -1.8068
20050329033826 20190317000547 0.95 -0.0794
20050329034434 20050331161250 0.91 0.1726
20050329034434 20050403072849 0.90 3.3482
20050329034434 20050420092658 0.89 -2.3598
20050329034434 20050428125440 0.96 0.0737
20050329034434 20050605044902 0.96 1.1049
20050329034434 20050728071154 0.95 -0.7166
20050329034434 20051018112209 0.94 -0.7883
20050329034434 20060126002143 0.87 -5.9305
20050329034434 20060526223841 0.86 2.4469
20050329034434 20070516120317 0.91 -2.2826
20050329034434 20080417145605 0.86 2.9618
20050329034434 20090919142815 0.91 -1.8364
20050329034434 20130223113946 0.90 -1.5180
20050329034434 20180119195555 0.86 -1.2134
20050329061417 20050401143706 0.93 -2.9864
20050329061417 20050407022123 0.86 0.7832
20050329061417 20050505070319 0.91 0.2101
20050329061417 20060808100710 0.92 -5.5829
20050329061417 20080909151512 0.85 0.8947
20050329061417 20190525154412 0.92 0.5332
20050329062452 20050401014658 0.90 -1.2010
20050329062452 20050403223150 0.92 -1.0000
20050329065119 20070810174749 0.85 -3.3413
20050329071648 20050330083813 0.92 0.4832
20050329071648 20050404112708 0.93 3.3795
20050329071648 20050408080317 0.92 1.8621
20050329071648 20050904073518 0.91 2.0957
20050329071648 20061019211225 0.86 -1.2274
20050329071648 20061021115304 0.92 -0.2644
20050329071648 20080303200522 0.93 -2.2090
20050329071648 20090628133142 0.91 0.1820
20050329071648 20100915114205 0.87 -0.4163
20050329071648 20191015185650 0.93 1.0280
20050329085744 20050402064727 0.93 0.2176
20050329085744 20050410010909 0.93 0.3495
20050329091601 20050422082249 0.89 -2.5968
20050329091601 20130114070554 0.85 -2.1087
20050329092820 20050407164051 0.93 0.1904
20050329092820 20060509032525 0.87 -3.2611
20050329101241 20050402070920 0.86 0.1320
20050329101241 20050412095639 0.85 -1.6724
20050329101241 20050512173605 0.85 -1.7356
20050329101241 20050710073848 0.85 -0.7248
20050329101241 20050923051850 0.85 -2.1486
20050329101241 20060408062106 0.85 -2.0192
20050329101241 20070405191450 0.85 -4.0201
20050329102157 20050331193028 0.85 -2.6211
20050329102157 20050705145434 0.86 -2.8611
20050329110816 20050331150808 0.86 -0.3178
20050329110816 20050417115431 0.88 -1.4095
20050329114757 20051104171256 0.91 0.5394
20050329114757 20060221185114 0.87 -0.6420
20050329124406 20050405222007 0.95 1.3686
20050329124406 20050504122428 0.90 0.2467
20050329124406 20050608082717 0.93 -0.4389
20050329124406 20050902011542 0.85 2.0191
20050329124406 20051112202219 0.95 2.1584
20050329124406 20060529193250 0.92 -1.5902
20050329134243 20050405053640 0.93 -0.5939
20050329134243 20051008161945 0.87 -1.7303
20050329135440 20050330160502 0.93 -0.8827
20050329135440 20050420175035 0.87 -1.5778
20050329135440 20050503121431 0.89 -1.7997
20050329135440 20050510134135 0.85 0.1659
20050329135440 20050711170824 0.86 0.2524
20050329135440 20050728201537 0.88 -1.8922
20050329135440 20060907192051 0.87 -2.6426
20050329135920 20050927210033 0.88 -6.9422
20050329142421 20050403192542 0.91 -0.3380
20050329142421 20050501191540 0.88 -1.4811
20050329142421 20050724202035 0.88 -1.6804
20050329142421 20051225024915 0.90 -0.0869
20050329142421 20070203232441 0.89 -0.9395
20050329142421 20070804182941 0.94 -2.4918
20050329142421 20140712063031 0.91 -1.9059
20050329144329 20050330161753 0.87 -1.2507
20050329144329 20050403071511 0.98 -1.1322
20050329144329 20050410152459 0.98 -1.7869
20050329144329 20050417153137 0.95 1.3050
20050329144329 20050425055615 0.97 -1.5779
20050329144329 20050515163149 0.97 0.6701
20050329144329 20050603034215 0.87 0.9071
20050329144329 20050701165743 0.97 0.7971
20050329144329 20050730045649 0.92 -0.0017
20050329144329 20050825092432 0.95 1.2405
20050329144329 20051101002645 0.95 -1.9710
20050329144329 20060205061337 0.96 -3.0632
20050329144329 20060807182923 0.95 -3.6581
20050329144329 20070502015541 0.95 -2.5875
20050329144329 20080518134221 0.95 -2.1868
20050329153246 20050329153255 0.99 -9.0098
20050329154830 20050330141738 0.87 0.5471
