station,event1,event2,Δτl,Δτc,Δτr,ccl,ccc,ccr,Δτ
II.DGAR.00.BHZ,2005-04-28T12:54:41.35,2005-10-18T11:22:10.31,"[-1.202471488305792, -1.0988631656533114]","[-0.7371141636618589, -0.7560016796620586]","[-0.26472997926997377, -0.4053300865733887]","[0.7835346251155058, 0.42370127680962427]","[0.8270448701005897, 0.6433971260024105]","[0.5120228122818965, 0.43208170707820237]","[-0.7371141636618589, -0.7560016796620586]"
II.DGAR.00.BHZ,2005-04-28T23:26:18.28,2005-06-23T05:30:46.93,"[1.423819692942374, 1.610196564019548]","[1.9175073739838253, 1.9364946630199589]","[2.4093105811275177, 2.2618657480546407]","[0.41813139267504396, 0.6182705845540052]","[0.7391118930992658, 0.7286162970951496]","[0.5512753075561031, 0.662128329261936]","[1.9175073739838253, 1.9364946630199589]"
II.DGAR.00.BHZ,2005-04-30T01:50:36.75,2005-11-21T20:02:54.4,"[1.6152611264142946, 1.6896408182432714]","[2.0542236068490065, 2.0389397861801144]","[2.4924483992167414, 2.3864787978555]","[0.5867447630379101, 0.6087122067480093]","[0.6938745597989221, 0.7146603307558647]","[0.5806600433114131, 0.4913985388021384]","[2.0542236068490065, 2.0389397861801144]"
II.DGAR.00.BHZ,2005-04-30T01:50:36.75,2006-01-28T08:55:24.14,"[1.3764666701583026, 1.4061217197465528]","[1.8166154552153304, 1.7580840708430654]","[2.2555622557985004, 2.097525151414316]","[0.6543806501562897, 0.6974377529882506]","[0.6608240316437447, 0.6877941636968307]","[0.4959492160433681, 0.4054786780191426]","[1.3764666701583026, 1.4061217197465528]"
II.DGAR.00.BHZ,2005-04-30T04:45:13.76,2005-06-01T23:47:05.8,"[0.1838241348963391, 0.28400313410886774]","[0.6315440649558896, 0.635833687760256]","[1.0805182768584767, 0.9960892183711054]","[0.43457112574065165, 0.5707131139503014]","[0.7322568798234108, 0.7234879843392288]","[0.5276475045887423, 0.5439366562234221]","[0.6315440649558896, 0.635833687760256]"
II.DGAR.00.BHZ,2005-04-30T12:18:04.32,2005-05-29T17:16:31.04,"[-1.1968511706490244, -1.030605162710475]","[-0.7044610752516127, -0.7069786375271663]","[-0.20560976233261716, -0.378065374441496]","[0.7318419342015007, 0.4690866780987387]","[0.859942396758368, 0.7303367202417455]","[0.6908276536899396, 0.5798536448577644]","[-0.7044610752516127, -0.7069786375271663]"
II.DGAR.00.BHZ,2005-04-30T12:18:04.32,2005-06-30T07:26:13.64,"[0.859192605272192, 1.0353959238294126]","[1.3545183407991153, 1.354574966061184]","[1.8514654294334836, 1.6787972307560903]","[0.7402735983108493, 0.5316767630622163]","[0.79778554105077, 0.6785111539543818]","[0.6140890212502965, 0.5635246749207059]","[1.3545183407991153, 1.354574966061184]"
II.DGAR.00.BHZ,2005-05-01T14:52:24.42,2005-08-24T17:02:42.13,"[4.229266465227889, 4.387154403727776]","[4.718067959913135, 4.725767350382431]","[5.203337794919154, 5.055526144752159]","[0.5949589737678055, 0.3576911173669772]","[0.7632903376411172, 0.5347726332388715]","[0.653733694522116, 0.35748584079784457]","[4.718067959913135, 4.725767350382431]"
II.DGAR.00.BHZ,2005-05-01T19:15:43.29,2005-12-25T02:49:16.38,"[3.221855839077297, 3.3733639641113466]","[3.686358638070651, 3.718642617699963]","[4.151998191226432, 4.063362131359634]","[0.5489345077539906, 0.2957990136344529]","[0.7610144841169555, 0.5768492444945688]","[0.6780111815653151, 0.5979125796699198]","[3.686358638070651, 3.718642617699963]"
II.DGAR.00.BHZ,2005-05-02T12:03:15.56,2005-06-27T17:14:22.94,"[0.08626267386267583, 0.2517092343307026]","[0.571278338644219, 0.5766870344792905]","[1.0573284040648414, 0.907212946883482]","[0.6542822074863818, 0.5316448803498203]","[0.7682562913546385, 0.6631296590472475]","[0.6142038115131475, 0.5170463829781418]","[0.571278338644219, 0.5766870344792905]"
