station,event1,event2,Δτl,Δτc,Δτr,ccl,ccc,ccr,Δτ
H08S2,2005-03-31T12:33:14.33,2013-04-27T10:03:17.46,"[1.5910896477055, 1.6712006428662625]","[2.0322682294232237, 2.006672122828914]","[2.4760041952640326, 2.3361429744140674]","[0.6325436596941475, 0.4913993279324841]","[0.8330014449474206, 0.5479799239821525]","[0.7180828852819989, 0.2692618129214973]","[2.0322682294232237, 2.006672122828914]"
H08S2,2005-03-31T12:33:14.33,2017-02-04T01:36:34.52,"[-0.7239719495863886, -0.6467954487633992]","[-0.2844205885786609, -0.28875911309780655]","[0.15997240191056783, 0.06362988394810452]","[0.6114501925910558, 0.4303970453364871]","[0.8394708415109693, 0.5219322448073342]","[0.7673582424688513, 0.29154487406276863]","[-0.2844205885786609, -0.28875911309780655]"
H08S2,2005-03-31T13:01:31.57,2005-09-01T04:18:53.17,"[-1.578399374806714, -1.438479826546764]","[-1.1319547732168727, -1.124788378121172]","[-0.6841392634834137, -0.8082898074898514]","[0.7002066641893221, 0.6674493248682519]","[0.9265169320180815, 0.8116014861108906]","[0.7937417586383595, 0.5979319546942422]","[-1.1319547732168727, -1.124788378121172]"
H08S2,2005-03-31T15:08:09.94,2005-04-17T11:54:31.7,"[-0.3594566717093224, -0.25261523875674635]","[0.08605708805260305, 0.081684062914114]","[0.5309150671329331, 0.4169140360194156]","[0.6667307099531689, 0.7406163560006748]","[0.9541686399119934, 0.8914826645160926]","[0.6456704671045284, 0.6628412937068733]","[0.08605708805260305, 0.081684062914114]"
H08S2,2005-03-31T15:08:09.94,2005-05-06T00:06:32.61,"[-0.5417605867854535, -0.426215440571176]","[-0.08832228277810092, -0.09520957159702945]","[0.36192650254929953, 0.2399493476057957]","[0.5749440173007848, 0.6942510406382718]","[0.8690045355327797, 0.7683626269664673]","[0.6242563162477327, 0.5133974599669573]","[-0.08832228277810092, -0.09520957159702945]"
H08S2,2005-03-31T16:12:52.67,2005-04-10T19:05:10.37,"[3.388451714719693, 3.441719614988352]","[3.8107985862755407, 3.7742202386427217]","[4.237519934661858, 4.105734594560909]","[0.7916722689343473, 0.7333263662396049]","[0.8805746379866356, 0.7722340499586966]","[0.5690756670290154, 0.557841864470806]","[3.8107985862755407, 3.7742202386427217]"
H08S2,2005-03-31T16:12:52.67,2005-07-28T07:11:54.79,"[0.7623814134272281, 0.8507930954402345]","[1.19405967659607, 1.1871179405554733]","[1.6234679728321144, 1.525228984441311]","[0.7609477055109534, 0.6805491779301446]","[0.9208288798779488, 0.7764175346703537]","[0.671069581507975, 0.592781553626867]","[1.19405967659607, 1.1871179405554733]"
H08S2,2005-03-31T16:12:52.67,2005-10-18T11:22:10.31,"[0.10004992128636284, 0.15775062676707657]","[0.534453735202813, 0.5028764187731899]","[0.9663731691637093, 0.8506726395231414]","[0.7864613585138391, 0.6057326907928018]","[0.8177341675769417, 0.6100299723035255]","[0.49424611533102125, 0.4552854605007033]","[0.534453735202813, 0.5028764187731899]"
H08S2,2005-03-31T17:44:26.77,2005-04-08T01:11:41.08,"[-3.409326553660988, -3.367353111911749]","[-2.9681382700221968, -3.0279082635733814]","[-2.506842079405257, -2.6955549166754573]","[0.7309042855069192, 0.5957429509124714]","[0.8930034619720744, 0.5940310714709026]","[0.6124826161826749, 0.44431128979449847]","[-2.9681382700221968, -3.0279082635733814]"
H08S2,2005-03-31T17:44:26.77,2005-05-05T09:55:06.74,"[-2.5502463262614263, -2.44698309399896]","[-2.107468316565023, -2.122173038333259]","[-1.662876629361463, -1.7962662250375097]","[0.6947947239854865, 0.7750787092224221]","[0.9482436307071537, 0.8633173289433413]","[0.7018549196123941, 0.6235531878722682]","[-2.107468316565023, -2.122173038333259]"
