station,event1,event2,Δτl,Δτc,Δτr,ccl,ccc,ccr,Δτ
II.DGAR.00.BHZ,2005-04-02T07:21:57.49,2005-04-23T03:01:31.37,"[-3.080460451766387, -2.934288956881002]","[-2.607201310888823, -2.589664438557564]","[-2.1408253976329252, -2.239089537734617]","[0.5618436882708593, 0.6201503640082418]","[0.8262887603921676, 0.7424778101619276]","[0.6969590336850817, 0.5431529749363179]","[-2.607201310888823, -2.589664438557564]"
II.DGAR.00.BHZ,2005-04-02T07:21:57.49,2005-07-08T16:31:04.75,"[-2.7650563795666905, -2.5918344517171215]","[-2.284562797530026, -2.2489648601364522]","[-1.8165994251196038, -1.8967680320616807]","[0.4485517188670537, 0.44865339059166515]","[0.6256723455852736, 0.5934969921280493]","[0.5592600556365643, 0.47324383664645614]","[-2.284562797530026, -2.2489648601364522]"
II.DGAR.00.BHZ,2005-04-02T07:21:57.49,2005-12-13T16:03:41.64,"[1.7020619155831758, 1.843441829382906]","[2.1793438237443525, 2.193761158303278]","[2.6501536774678804, 2.549694629235742]","[0.4497016442222028, 0.6069350748060743]","[0.7376161578517312, 0.6965196352989826]","[0.5914875564121143, 0.5443978107750403]","[2.1793438237443525, 2.193761158303278]"
II.DGAR.00.BHZ,2005-04-02T08:32:51.11,2005-04-20T20:42:20.47,"[-2.3806205321510365, -2.259441759892222]","[-1.9081433590980124, -1.9052498291965647]","[-1.4333805992515127, -1.5514730730479447]","[0.6548535768622487, 0.38860073915770876]","[0.8045972655506504, 0.5394333994841951]","[0.5712551732767531, 0.4974428438754514]","[-1.9081433590980124, -1.9052498291965647]"
II.DGAR.00.BHZ,2005-04-02T08:32:51.11,2005-06-03T02:08:32.63,"[-2.3377228894576523, -2.1982070864223515]","[-1.8658807230094845, -1.8681121612903635]","[-1.3908542975379996, -1.5385008101579745]","[0.6266133589316408, 0.42497532453446185]","[0.7714052128715276, 0.6377147109014966]","[0.5853448052528389, 0.5511744314278392]","[-1.8658807230094845, -1.8681121612903635]"
II.DGAR.00.BHZ,2005-04-02T08:32:51.11,2010-03-13T19:17:17.14,"[-1.2930300245503181, -1.1194157119164359]","[-0.8185062610856563, -0.798268886250702]","[-0.3400018931814847, -0.477467117334707]","[0.5745160372778435, 0.42038425924748046]","[0.7439699668724585, 0.6416006092300317]","[0.5533115345337146, 0.643959520346352]","[-0.8185062610856563, -0.798268886250702]"
II.DGAR.00.BHZ,2005-04-02T09:28:15.48,2005-04-07T04:12:10.53,"[-4.448981397660557, -4.294519300698624]","[-3.9626146741354122, -3.9642057325594893]","[-3.474279793503987, -3.637606497983677]","[0.692132572711421, 0.6121646233459817]","[0.945214129809968, 0.8955716365446866]","[0.6971036228916776, 0.6735630233396964]","[-3.9626146741354122, -3.9642057325594893]"
II.DGAR.00.BHZ,2005-04-02T09:28:15.48,2005-04-15T14:49:45.8,"[-1.5715376280408024, -1.4098064617840536]","[-1.086956045935475, -1.0795467175380637]","[-0.602561018700274, -0.7493554782250733]","[0.6481870736236606, 0.42973897197069044]","[0.8788386152479437, 0.6591348129024496]","[0.7043601409612124, 0.5189497358069384]","[-1.086956045935475, -1.0795467175380637]"
II.DGAR.00.BHZ,2005-04-02T09:28:15.48,2005-05-03T15:58:15.58,"[-1.1110971443000606, -0.9670639484407]","[-0.6267381963497376, -0.6381269862378289]","[-0.1391627208685552, -0.3098872955536417]","[0.6852674785900948, 0.42162752324561165]","[0.8732287051535742, 0.6073369044562729]","[0.6651740471588233, 0.4676894338099063]","[-0.6267381963497376, -0.6381269862378289]"
II.DGAR.00.BHZ,2005-04-02T09:28:15.48,2005-06-03T12:37:52.81,"[-2.984765622190428, -2.814146267290539]","[-2.4873303154852047, -2.47712806321267]","[-1.996342074910007, -2.1428768475712765]","[0.5166284695711699, 0.47514481939831077]","[0.8107990391082133, 0.6492059458954246]","[0.6846919624735173, 0.4857914121568592]","[-2.4873303154852047, -2.47712806321267]"
II.DGAR.00.BHZ,2005-04-02T09:28:15.48,2005-07-13T09:29:54.36,"[-2.25745200243479, -2.055931384296132]","[-1.7663230319951377, -1.731300180105341]","[-1.281124182436454, -1.4009041696410964]","[0.560038633772557, 0.4631181231481787]","[0.8947073274522622, 0.6741809930386531]","[0.804905596151227, 0.5186805574046529]","[-1.7663230319951377, -1.731300180105341]"
II.DGAR.00.BHZ,2005-04-02T09:28:15.48,2005-09-24T22:25:28.77,"[-2.1886894087081585, -2.000156256930153]","[-1.6997427047032103, -1.6826831030642586]","[-1.2128781490086995, -1.3589171897732646]","[0.6425317027749348, 0.5773516405129906]","[0.8879352294473041, 0.8079181264786]","[0.7151409871340105, 0.6642182578976434]","[-1.6997427047032103, -1.6826831030642586]"
II.DGAR.00.BHZ,2005-04-02T09:28:15.48,2006-01-19T22:46:03.5,"[0.13285967537709878, 0.3649742596617853]","[0.6167680093288749, 0.6769279734836523]","[1.0918669417376896, 0.9983794342881515]","[0.5572718422960524, 0.5122288558441649]","[0.8600963418803569, 0.7976559067610738]","[0.829993977702859, 0.7190100624647429]","[0.6167680093288749, 0.6769279734836523]"
II.DGAR.00.BHZ,2005-04-02T09:28:15.48,2006-05-19T06:34:16.23,"[-1.9043309212775874, -1.7553623241236935]","[-1.415563147759893, -1.4321584525735316]","[-0.9219216787024406, -1.1067668766937604]","[0.759587931250941, 0.6318289060221703]","[0.9155705173497166, 0.8331864458505053]","[0.6373501702251524, 0.6409005913741666]","[-1.415563147759893, -1.4321584525735316]"
II.DGAR.00.BHZ,2005-04-02T09:28:15.48,2006-08-18T08:08:50.87,"[-1.3870789082293262, -1.1702313171320076]","[-0.9007348612680701, -0.8540853309121662]","[-0.42150092566610825, -0.5323979578948428]","[0.5431901179162087, 0.4240113058375875]","[0.821314336425072, 0.7212116959091174]","[0.7294320583558667, 0.6632680001023118]","[-0.9007348612680701, -0.8540853309121662]"
II.DGAR.00.BHZ,2005-04-02T09:28:15.48,2006-12-15T04:38:48.87,"[-1.9277468567576714, -1.6835120834570008]","[-1.4338747724465577, -1.3657971610300725]","[-0.9512885537296148, -1.0424901622140588]","[0.46760404899070457, 0.4992411587799061]","[0.8559041582602056, 0.7996673226123548]","[0.854105515882484, 0.7801962177124299]","[-1.4338747724465577, -1.3657971610300725]"
II.DGAR.00.BHZ,2005-04-02T09:28:15.48,2008-04-06T18:35:06.67,"[-1.7137198784266559, -1.574645256068419]","[-1.2300685001561709, -1.2446713847480215]","[-0.7439732772197984, -0.9241398709170916]","[0.6845515750786597, 0.6009879550555073]","[0.9247791105749383, 0.7603557487961837]","[0.7140556421945073, 0.5187852470440085]","[-1.2300685001561709, -1.2446713847480215]"
II.DGAR.00.BHZ,2005-04-02T09:28:15.48,2010-03-13T16:34:37.73,"[-2.487444307066123, -2.342900374293826]","[-2.0030785378254725, -2.0188019975996916]","[-1.5189542246469538, -1.6988018133510252]","[0.6265293803259455, 0.515767260092265]","[0.8682662756652013, 0.6542266219694689]","[0.6550047587826292, 0.47978271963579755]","[-2.0030785378254725, -2.0188019975996916]"
II.DGAR.00.BHZ,2005-04-02T09:28:15.48,2010-12-22T03:43:01.91,"[-1.3964923386298238, -1.1912876093290174]","[-0.9037639734365036, -0.8707947566743773]","[-0.41687704443649504, -0.5478528454055922]","[0.5983380607271456, 0.34299598229183276]","[0.8125677934067448, 0.5408910138879632]","[0.7178730114823544, 0.49999060208050716]","[-0.9037639734365036, -0.8707947566743773]"
II.DGAR.00.BHZ,2005-04-02T09:28:15.48,2012-06-20T11:12:22.85,"[-2.712024575783791, -2.569867097348812]","[-2.2252943611840785, -2.246579861134583]","[-1.7383663217555965, -1.9256372316822072]","[0.6865615056797032, 0.6474087887225235]","[0.876513912501835, 0.7416205197550081]","[0.6773267216395875, 0.48321236907092113]","[-2.2252943611840785, -2.246579861134583]"
II.DGAR.00.BHZ,2005-04-02T09:28:15.48,2014-07-15T01:00:10.75,"[-1.8054094580788291, -1.6445687297509972]","[-1.3230620747446222, -1.3172161775385165]","[-0.8445999068801384, -0.9944161692018143]","[0.574232747158436, 0.6470420814164042]","[0.8555127226836243, 0.8054644016349104]","[0.701230652152291, 0.5814293029469092]","[-1.3230620747446222, -1.3172161775385165]"
II.DGAR.00.BHZ,2005-04-02T09:28:15.48,2017-07-13T07:40:59.02,"[-2.7148230866648326, -2.4842921523466117]","[-2.2169269689179063, -2.162399552895283]","[-1.7323184888831507, -1.8348254555702435]","[0.50070350807345, 0.5366627495292845]","[0.8692391958057163, 0.7461193114415297]","[0.8647289706798835, 0.6221739724107528]","[-2.2169269689179063, -2.162399552895283]"
