time,latitude,longitude
2008-06-14T23:26:53.40,39.16,140.85
2008-06-15T01:56:38.23,39.1539,140.9622
2008-06-15T03:58:08.20,38.83,140.74
2008-06-15T05:31:29.40,39.01,140.79
2008-06-15T06:25:39.34,39.0929,140.9543
2008-06-15T06:56:37.80,39.03,140.89
2008-06-15T07:23:34.60,38.87,140.87
2008-06-15T10:11:01.06,39.0958,140.9077
2008-06-15T13:30:47,39.09,140.96
2008-06-15T13:40:18.48,38.8943,140.8812
2008-06-15T17:36:04.92,39.1228,140.9549
2008-06-15T17:36:20.17,39.1017,140.9437
2008-06-15T21:06:33.50,39.01,140.85
2008-06-15T22:01:45.50,38.89,140.85
2008-06-16T02:46:19.40,39.06,140.86
2008-06-16T04:35:01.05,39.0981,140.9502
2008-06-16T04:37:05.60,39.1,140.93
2008-06-16T05:38:10.95,39.1281,140.9663
2008-06-16T06:57:27.80,38.98,140.9
2008-06-16T09:31:48.13,39.0614,140.9659
2008-06-16T11:13:49.70,38.96,140.9
2008-06-16T14:18:05.80,38.99,140.84
2008-06-16T15:03:21.09,38.91,140.8775
2008-06-16T17:59:47.30,39.0,140.85
2008-06-16T18:02:05.14,39.0585,140.9651
2008-06-16T18:11:11.04,38.9082,140.8797
2008-06-16T18:23:02.01,39.0986,140.955
2008-06-16T19:56:19.79,39.1416,140.9571
2008-06-16T22:11:44.70,38.92,140.58
2008-06-17T00:10:41,39.1,140.95
2008-06-17T00:19:21.78,38.9094,140.6007
2008-06-17T06:12:05.90,38.84,140.82
2008-06-17T10:03:54.60,39.15,140.8
2008-06-17T11:09:12.72,38.9191,140.9056
2008-06-17T12:30:58.41,39.085,140.9589
2008-06-17T13:00:14.80,39.07,140.84
2008-06-17T15:35:32,39.11,140.93
2008-06-17T15:54:37.20,39.1528,140.9908
2008-06-17T21:13:27.50,39.0,140.83
2008-06-18T14:55:05.72,39.0532,140.9125
2008-06-18T20:19:36.70,39.05,140.9
2008-06-19T02:34:15.10,39.164,141.0012
2008-06-19T10:28:10.60,39.0,140.89
2008-06-19T17:32:06.82,39.1479,140.974
2008-06-20T02:10:33.90,38.91,140.84
2008-06-20T16:55:30.36,39.1706,140.9608
2008-06-21T11:19:32.50,39.05,140.86
2008-06-22T22:58:45.34,39.0983,141.0069
2008-06-23T13:05:57.55,38.9332,140.9037
2008-06-23T17:18:56.19,38.9259,140.9066
2008-06-23T19:24:08.50,39.05,140.88
2008-06-24T07:21:34.60,38.86,140.74
2008-06-25T17:11:48.20,38.87,140.85
2008-06-26T03:20:02.33,39.032,140.9127
2008-06-26T13:56:16.70,38.82,140.8
2008-06-26T14:34:01.20,38.7455,140.7471
